CCHE1D_Channel,Reach_ID,Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left,Upstream_Reach_ID_1,Upstream_Reach_ID_2,y_US,x_US,y_DS,x_DS
518,295,0,2952,2953,297.0,296.0,3795098.6207244,237192.11401283,3795029.6207244,237059.11401283
463,450,4501,4502,4503,,,3795094.6207244,238425.11401283,3794918.6207244,238348.11401283
652,161,0,1612,1613,165.0,162.0,3795078.6207244,235560.11401283,3795057.6207244,235575.11401283
460,453,4531,4532,4533,,,3795068.6207244,238598.11401283,3794992.6207244,238528.11401283
523,290,0,2902,2903,294.0,291.0,3795066.6207244,236943.11401283,3795043.6207244,236893.11401283
519,294,0,2942,2943,298.0,295.0,3795029.6207244,237058.11401283,3795065.6207244,236944.11401283
467,446,4461,4462,4463,,,3795062.6207244,238028.11401283,3795009.6207244,238031.11401283
653,160,0,1602,1603,166.0,161.0,3795056.6207244,235574.11401283,3795033.6207244,235568.11401283
701,112,1121,1122,1123,,,3795046.6207244,234587.11401283,3794985.6207244,234598.11401283
524,289,0,2892,2893,485.0,290.0,3795042.6207244,236893.11401283,3795033.6207244,236791.11401283
428,485,4851,4852,4853,,,3795006.6207244,236967.11401283,3795042.6207244,236894.11401283
400,513,5131,5132,5133,,,3794955.6207244,235794.11401283,3795032.6207244,235569.11401283
654,159,0,1592,1593,513.0,160.0,3795032.6207244,235568.11401283,3794968.6207244,235558.11401283
427,486,0,4862,4863,488.0,487.0,3794997.6207244,236788.11401283,3795032.6207244,236790.11401283
515,298,0,2982,2983,484.0,299.0,3795018.6207244,237148.11401283,3795028.6207244,237059.11401283
470,443,4431,4432,4433,,,3795022.6207244,237880.11401283,3794922.6207244,237874.11401283
403,510,5101,5102,5103,,,3794946.6207244,236052.11401283,3795021.6207244,235973.11401283
402,511,5111,5112,5113,,,3794985.6207244,235986.11401283,3795019.6207244,235973.11401283
666,147,1471,1472,1473,,,3795018.6207244,235021.11401283,3795009.6207244,235054.11401283
514,299,0,2992,2993,433.0,300.0,3794980.6207244,237185.11401283,3795018.6207244,237149.11401283
429,484,4841,4842,4843,,,3794978.6207244,237124.11401283,3795017.6207244,237148.11401283
667,146,0,1462,1463,148.0,147.0,3795009.6207244,235055.11401283,3794836.6207244,235416.11401283
426,487,4871,4872,4873,,,3794823.6207244,237028.11401283,3794996.6207244,236789.11401283
468,445,0,4452,4453,447.0,446.0,3795008.6207244,238031.11401283,3794995.6207244,238015.11401283
700,113,1131,1132,1133,,,3795006.6207244,234639.11401283,3794985.6207244,234599.11401283
513,300,0,3002,3003,432.0,301.0,3795001.6207244,237260.11401283,3794980.6207244,237186.11401283
703,110,1101,1102,1103,,,3795001.6207244,234530.11401283,3794975.6207244,234589.11401283
481,432,4321,4322,4323,,,3794965.6207244,237301.11401283,3795001.6207244,237261.11401283
469,444,0,4442,4443,448.0,445.0,3794995.6207244,238014.11401283,3794921.6207244,237875.11401283
465,448,0,4482,4483,456.0,449.0,3794912.6207244,238341.11401283,3794994.6207244,238015.11401283
425,488,0,4882,4883,498.0,489.0,3794954.6207244,236791.11401283,3794996.6207244,236788.11401283
459,454,4541,4542,4543,,,3794983.6207244,238642.11401283,3794991.6207244,238528.11401283
461,452,0,4522,4523,454.0,453.0,3794991.6207244,238527.11401283,3794920.6207244,238387.11401283
702,111,0,1112,1113,113.0,112.0,3794984.6207244,234598.11401283,3794975.6207244,234591.11401283
480,433,0,4332,4333,483.0,434.0,3794918.6207244,237249.11401283,3794979.6207244,237186.11401283
704,109,0,1092,1093,111.0,110.0,3794974.6207244,234590.11401283,3794627.6207244,234492.11401283
399,514,0,5142,5143,516.0,515.0,3794838.6207244,235676.11401283,3794968.6207244,235559.11401283
655,158,0,1582,1583,514.0,159.0,3794967.6207244,235558.11401283,3794833.6207244,235488.11401283
473,440,4401,4402,4403,,,3794957.6207244,237751.11401283,3794837.6207244,237769.11401283
415,498,4981,4982,4983,,,3794735.6207244,236674.11401283,3794953.6207244,236790.11401283
424,489,0,4892,4893,497.0,490.0,3794816.6207244,236848.11401283,3794953.6207244,236792.11401283
656,157,1571,1572,1573,,,3794945.6207244,235523.11401283,3794833.6207244,235487.11401283
682,131,1311,1312,1313,,,3794943.6207244,234846.11401283,3794852.6207244,234879.11401283
709,104,1041,1042,1043,,,3794942.6207244,234254.11401283,3794721.6207244,234205.11401283
471,442,0,4422,4423,444.0,443.0,3794921.6207244,237874.11401283,3794842.6207244,237807.11401283
462,451,0,4512,4513,455.0,452.0,3794920.6207244,238386.11401283,3794917.6207244,238348.11401283
458,455,4551,4552,4553,,,3794781.6207244,238661.11401283,3794919.6207244,238387.11401283
430,483,4831,4832,4833,,,3794853.6207244,237234.11401283,3794917.6207244,237249.11401283
479,434,0,4342,4343,482.0,435.0,3794770.6207244,237399.11401283,3794917.6207244,237250.11401283
464,449,0,4492,4493,451.0,450.0,3794917.6207244,238347.11401283,3794913.6207244,238342.11401283
457,456,4561,4562,4563,,,3794813.6207244,238381.11401283,3794912.6207244,238342.11401283
408,505,5051,5052,5053,,,3794886.6207244,236416.11401283,3794911.6207244,236469.11401283
409,504,5041,5042,5043,,,3794887.6207244,236477.11401283,3794911.6207244,236471.11401283
475,438,4381,4382,4383,,,3794890.6207244,237614.11401283,3794815.6207244,237623.11401283
681,132,1321,1322,1323,,,3794883.6207244,234932.11401283,3794814.6207244,234913.11401283
683,130,1301,1302,1303,,,3794877.6207244,234802.11401283,3794852.6207244,234878.11401283
398,515,5151,5152,5153,,,3794866.6207244,235720.11401283,3794839.6207244,235677.11401283
705,108,1081,1082,1083,,,3794864.6207244,234430.11401283,3794627.6207244,234491.11401283
684,129,0,1292,1293,131.0,130.0,3794851.6207244,234879.11401283,3794813.6207244,234913.11401283
456,457,0,4572,4573,459.0,458.0,3794756.6207244,237980.11401283,3794840.6207244,237807.11401283
472,441,0,4412,4413,457.0,442.0,3794841.6207244,237806.11401283,3794836.6207244,237770.11401283
397,516,5161,5162,5163,,,3794763.6207244,235900.11401283,3794837.6207244,235677.11401283
668,145,0,1452,1453,153.0,146.0,3794836.6207244,235417.11401283,3794761.6207244,235444.11401283
474,439,0,4392,4393,441.0,440.0,3794836.6207244,237769.11401283,3794813.6207244,237623.11401283
657,156,0,1562,1563,158.0,157.0,3794832.6207244,235487.11401283,3794775.6207244,235454.11401283
476,437,0,4372,4373,439.0,438.0,3794814.6207244,237622.11401283,3794803.6207244,237541.11401283
423,490,0,4902,4903,492.0,491.0,3794701.6207244,236927.11401283,3794816.6207244,236849.11401283
416,497,4971,4972,4973,,,3794760.6207244,236797.11401283,3794815.6207244,236848.11401283
685,128,0,1282,1283,132.0,129.0,3794813.6207244,234914.11401283,3794737.6207244,234927.11401283
372,541,5411,5412,5413,,,3794804.6207244,236231.11401283,3794708.6207244,236210.11401283
477,436,0,4362,4363,468.0,437.0,3794802.6207244,237540.11401283,3794753.6207244,237429.11401283
445,468,4681,4682,4683,,,3794768.6207244,237623.11401283,3794802.6207244,237541.11401283
396,517,5171,5172,5173,,,3794781.6207244,235663.11401283,3794774.6207244,235455.11401283
658,155,0,1552,0,517.0,156.0,3794774.6207244,235454.11401283,3794773.6207244,235453.11401283
395,518,0,5182,5183,520.0,519.0,3794703.6207244,235525.11401283,3794772.6207244,235454.11401283
686,127,1271,1272,1273,,,3794770.6207244,234781.11401283,3794737.6207244,234926.11401283
659,154,0,1542,1543,518.0,155.0,3794772.6207244,235453.11401283,3794761.6207244,235445.11401283
431,482,4821,4822,4823,,,3794655.6207244,237318.11401283,3794769.6207244,237399.11401283
478,435,0,4352,4353,469.0,436.0,3794753.6207244,237428.11401283,3794769.6207244,237400.11401283
669,144,0,1442,1443,154.0,145.0,3794760.6207244,235444.11401283,3794713.6207244,235411.11401283
455,458,4581,4582,4583,,,3794758.6207244,238011.11401283,3794756.6207244,237981.11401283
454,459,0,4592,4593,467.0,460.0,3794705.6207244,237982.11401283,3794755.6207244,237980.11401283
444,469,0,4692,4693,471.0,470.0,3794672.6207244,237488.11401283,3794752.6207244,237428.11401283
687,126,0,1262,1263,128.0,127.0,3794736.6207244,234927.11401283,3794461.6207244,234800.11401283
