1739
CS_ID	CS_NPTS	CS_LOB	CS_LBT	CS_ROB	CS_RBT	CS_SVTYPE	CS_TYPE	CS_ORIGIN	CS_STATION
380	8	1	1	8	8	WZ	MC	USERSPEC	
381	8	1	1	8	8	WZ	MC	USERSPEC	
382	8	1	1	8	8	WZ	MC	USERSPEC	
383	8	1	1	8	8	WZ	MC	USERSPEC	
384	8	1	1	8	8	WZ	MC	USERSPEC	
385	8	1	1	8	8	WZ	MC	USERSPEC	
386	8	1	1	8	8	WZ	MC	USERSPEC	
387	8	1	1	8	8	WZ	MC	USERSPEC	
388	8	1	1	8	8	WZ	MC	USERSPEC	
389	8	1	1	8	8	WZ	MC	USERSPEC	
390	8	1	1	8	8	WZ	MC	USERSPEC	
391	8	1	1	8	8	WZ	MC	USERSPEC	
392	8	1	1	8	8	WZ	MC	USERSPEC	
393	8	1	1	8	8	WZ	MC	USERSPEC	
394	8	1	1	8	8	WZ	MC	USERSPEC	
395	8	1	1	8	8	WZ	MC	USERSPEC	
396	8	1	1	8	8	WZ	MC	USERSPEC	
397	8	1	1	8	8	WZ	MC	USERSPEC	
398	8	1	1	8	8	WZ	MC	USERSPEC	
399	8	1	1	8	8	WZ	MC	USERSPEC	
400	8	1	1	8	8	WZ	MC	USERSPEC	
401	8	1	1	8	8	WZ	MC	USERSPEC	
402	8	1	1	8	8	WZ	MC	USERSPEC	
403	8	1	1	8	8	WZ	MC	USERSPEC	
404	8	1	1	8	8	WZ	MC	USERSPEC	
405	8	1	1	8	8	WZ	MC	USERSPEC	
406	8	1	1	8	8	WZ	MC	USERSPEC	
407	8	1	1	8	8	WZ	MC	USERSPEC	
408	8	1	1	8	8	WZ	MC	USERSPEC	
409	8	1	1	8	8	WZ	MC	USERSPEC	
410	8	1	1	8	8	WZ	MC	USERSPEC	
411	8	1	1	8	8	WZ	MC	USERSPEC	
412	8	1	1	8	8	WZ	MC	USERSPEC	
413	8	1	1	8	8	WZ	MC	USERSPEC	
414	8	1	1	8	8	WZ	MC	USERSPEC	
415	8	1	1	8	8	WZ	MC	USERSPEC	
416	8	1	1	8	8	WZ	MC	USERSPEC	
417	8	1	1	8	8	WZ	MC	USERSPEC	
418	8	1	1	8	8	WZ	MC	USERSPEC	
419	8	1	1	8	8	WZ	MC	USERSPEC	
420	8	1	1	8	8	WZ	MC	USERSPEC	
421	8	1	1	8	8	WZ	MC	USERSPEC	
422	8	1	1	8	8	WZ	MC	USERSPEC	
423	8	1	1	8	8	WZ	MC	USERSPEC	
424	8	1	1	8	8	WZ	MC	USERSPEC	
425	8	1	1	8	8	WZ	MC	USERSPEC	
426	8	1	1	8	8	WZ	MC	USERSPEC	
427	8	1	1	8	8	WZ	MC	USERSPEC	
428	8	1	1	8	8	WZ	MC	USERSPEC	
429	8	1	1	8	8	WZ	MC	USERSPEC	
430	8	1	1	8	8	WZ	MC	USERSPEC	
431	8	1	1	8	8	WZ	MC	USERSPEC	
432	8	1	1	8	8	WZ	MC	USERSPEC	
433	8	1	1	8	8	WZ	MC	USERSPEC	
434	8	1	1	8	8	WZ	MC	USERSPEC	
435	8	1	1	8	8	WZ	MC	USERSPEC	
436	8	1	1	8	8	WZ	MC	USERSPEC	
437	8	1	1	8	8	WZ	MC	USERSPEC	
438	8	1	1	8	8	WZ	MC	USERSPEC	
439	8	1	1	8	8	WZ	MC	USERSPEC	
440	8	1	1	8	8	WZ	MC	USERSPEC	
441	8	1	1	8	8	WZ	MC	USERSPEC	
442	8	1	1	8	8	WZ	MC	USERSPEC	
443	8	1	1	8	8	WZ	MC	USERSPEC	
444	8	1	1	8	8	WZ	MC	USERSPEC	
445	8	1	1	8	8	WZ	MC	USERSPEC	
446	8	1	1	8	8	WZ	MC	USERSPEC	
447	8	1	1	8	8	WZ	MC	USERSPEC	
448	8	1	1	8	8	WZ	MC	USERSPEC	
449	8	1	1	8	8	WZ	MC	USERSPEC	
450	8	1	1	8	8	WZ	MC	USERSPEC	
451	8	1	1	8	8	WZ	MC	USERSPEC	
452	8	1	1	8	8	WZ	MC	USERSPEC	
453	8	1	1	8	8	WZ	MC	USERSPEC	
454	8	1	1	8	8	WZ	MC	USERSPEC	
455	8	1	1	8	8	WZ	MC	USERSPEC	
456	8	1	1	8	8	WZ	MC	USERSPEC	
457	8	1	1	8	8	WZ	MC	USERSPEC	
458	8	1	1	8	8	WZ	MC	USERSPEC	
459	8	1	1	8	8	WZ	MC	USERSPEC	
460	8	1	1	8	8	WZ	MC	USERSPEC	
461	8	1	1	8	8	WZ	MC	USERSPEC	
462	8	1	1	8	8	WZ	MC	USERSPEC	
463	8	1	1	8	8	WZ	MC	USERSPEC	
464	8	1	1	8	8	WZ	MC	USERSPEC	
465	8	1	1	8	8	WZ	MC	USERSPEC	
466	8	1	1	8	8	WZ	MC	USERSPEC	
467	8	1	1	8	8	WZ	MC	USERSPEC	
468	8	1	1	8	8	WZ	MC	USERSPEC	
469	8	1	1	8	8	WZ	MC	USERSPEC	
470	8	1	1	8	8	WZ	MC	USERSPEC	
471	8	1	1	8	8	WZ	MC	USERSPEC	
472	8	1	1	8	8	WZ	MC	USERSPEC	
473	8	1	1	8	8	WZ	MC	USERSPEC	
474	8	1	1	8	8	WZ	MC	USERSPEC	
475	8	1	1	8	8	WZ	MC	USERSPEC	
476	8	1	1	8	8	WZ	MC	USERSPEC	
477	8	1	1	8	8	WZ	MC	USERSPEC	
478	8	1	1	8	8	WZ	MC	USERSPEC	
479	8	1	1	8	8	WZ	MC	USERSPEC	
480	8	1	1	8	8	WZ	MC	USERSPEC	
481	8	1	1	8	8	WZ	MC	USERSPEC	
482	8	1	1	8	8	WZ	MC	USERSPEC	
483	8	1	1	8	8	WZ	MC	USERSPEC	
484	8	1	1	8	8	WZ	MC	USERSPEC	
485	8	1	1	8	8	WZ	MC	USERSPEC	
486	8	1	1	8	8	WZ	MC	USERSPEC	
487	8	1	1	8	8	WZ	MC	USERSPEC	
488	8	1	1	8	8	WZ	MC	USERSPEC	
489	8	1	1	8	8	WZ	MC	USERSPEC	
490	8	1	1	8	8	WZ	MC	USERSPEC	
491	8	1	1	8	8	WZ	MC	USERSPEC	
492	8	1	1	8	8	WZ	MC	USERSPEC	
493	8	1	1	8	8	WZ	MC	USERSPEC	
494	8	1	1	8	8	WZ	MC	USERSPEC	
495	8	1	1	8	8	WZ	MC	USERSPEC	
496	8	1	1	8	8	WZ	MC	USERSPEC	
497	8	1	1	8	8	WZ	MC	USERSPEC	
498	8	1	1	8	8	WZ	MC	USERSPEC	
499	8	1	1	8	8	WZ	MC	USERSPEC	
500	8	1	1	8	8	WZ	MC	USERSPEC	
