Reach_ID,Upstream_End_Row,Upstream_End_Column,Downstream_End_Row,Downstream_End_Column,Receiving_Reach,Drainage_Area_[ha],Average_Elevation_[m],Reach_Length_[m],Distance_Upstream_End_to_Outlet_[m],Distance_Downstream_End_to_Outlet_[m],Reach_Slope_[m/m],Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left
217,1379,5646,1474,5551,213,14.51,99.00,141.04,8845.38,8704.34,0.00002,0,2172,2173,
218,1185,5673,1378,5646,217,2.59,100.37,208.01,9053.38,8845.37,0.01200,2181,2182,2183,
219,1333,5686,1379,5647,217,11.90,99.84,80.38,8925.76,8845.37,0.01736,0,2192,2193,
220,1157,5728,1332,5686,219,8.82,101.26,208.33,9134.08,8925.75,0.00864,0,2202,2203,
221,1050,5762,1156,5729,220,3.10,102.89,122.74,9256.81,9134.07,0.01141,2211,2212,2213,
222,1185,5813,1157,5729,220,3.07,102.87,98.25,9232.33,9134.08,0.01425,2221,2222,2223,
223,1327,5731,1333,5687,219,2.04,101.28,51.63,8977.39,8925.76,0.02131,2231,2232,2233,
224,1873,5397,1875,5387,206,113.46,89.10,11.83,8212.11,8200.29,0.00002,0,2242,2243,
225,1846,5513,1872,5398,224,2.61,92.97,135.57,8347.68,8212.11,0.03393,2251,2252,2253,
226,1836,5639,1874,5398,224,110.83,90.15,271.17,8483.27,8212.11,0.00774,0,2262,2263,
227,1766,5654,1835,5639,226,1.66,93.83,76.21,8559.49,8483.27,0.05774,2271,2272,2273,
228,1838,5673,1836,5640,226,108.57,91.20,35.66,8518.93,8483.27,0.00002,0,2282,2283,
229,1770,5786,1837,5674,228,37.20,91.72,155.75,8674.68,8518.92,0.00706,0,2292,2293,
230,1523,5785,1769,5786,229,5.17,97.77,285.04,8959.71,8674.67,0.03123,2301,2302,2303,
231,1702,5961,1770,5787,229,29.87,93.43,210.34,8885.01,8674.67,0.00951,0,2312,2313,
232,1216,6085,1701,5961,231,21.88,100.08,603.33,9488.31,8884.98,0.01608,0,2322,2323,
233,1156,6099,1215,6086,232,8.19,104.32,68.04,9556.34,9488.30,0.00735,0,2332,2333,
234,1073,6058,1155,6098,233,1.86,105.35,111.50,9667.83,9556.33,0.01794,2341,2342,2343,
235,1169,6331,1155,6099,233,5.97,106.65,291.45,9847.78,9556.33,0.01784,2351,2352,2353,
236,1267,6223,1216,6086,232,2.60,105.53,168.20,9656.49,9488.29,0.01784,2361,2362,2363,
237,1518,6155,1702,5962,231,5.67,100.42,324.92,9209.92,8885.00,0.02831,2371,2372,2373,
238,1866,5917,1838,5674,228,71.35,91.81,283.87,8802.79,8518.92,0.00493,0,2382,2383,
239,1876,6014,1866,5918,238,55.10,92.96,105.28,8908.07,8802.78,0.00665,0,2392,2393,
240,1695,6325,1876,6015,239,41.44,95.97,428.90,9336.95,8908.05,0.01632,0,2402,2403,
241,1622,6364,1694,6326,240,13.86,101.04,93.98,9430.93,9336.94,0.01595,0,2412,2413,
242,1368,6372,1621,6364,241,6.56,104.65,338.63,9769.54,9430.90,0.01801,2421,2422,2423,
243,1359,6545,1621,6365,241,5.68,105.89,379.10,9810.00,9430.90,0.02216,2431,2432,2433,
244,1701,6392,1695,6326,240,21.47,100.83,71.14,9408.09,9336.95,0.01405,0,2442,2443,
245,1684,6537,1701,6393,244,18.05,102.00,181.30,9589.37,9408.07,0.01103,0,2452,2453,
246,1611,6576,1683,6538,245,11.39,104.64,100.23,9689.59,9589.36,0.02195,0,2462,2463,
247,1587,6581,1610,6576,246,1.23,105.65,28.56,9718.14,9689.59,0.01051,2471,2472,2473,
248,1608,6580,1610,6577,246,9.66,105.50,5.24,9694.83,9689.59,0.00002,0,2482,2483,
249,1356,6772,1607,6581,248,4.05,108.84,385.89,10080.70,9694.81,0.01685,2491,2492,2493,
